127.0.0.1 - - [07/Aug/2020:19:04:43 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Aug/2020:19:05:11 -0300] "GET /agora-vai/template.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [07/Aug/2020:19:47:45 -0300] "GET /agora-vai/template.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [07/Aug/2020:19:50:42 -0300] "GET /agora-vai/template.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:19:51:46 -0300] "GET /agora-vai/template.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:33:58 -0300] "GET /agora-vai/template.html HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:33:59 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 -0300] "GET /agora-vai/login.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 -0300] "GET /agora-vai/css/bootstrap.css HTTP/1.1" 200 198134
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 -0300] "GET /agora-vai/js/bootstrap.js HTTP/1.1" 200 135565
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:34:07 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:35:40 -0300] "GET /agora-vai/template.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:35:44 -0300] "GET /agora-vai/login.html HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:35:44 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:36:29 -0300] "GET /agora-vai/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:36:29 -0300] "GET /agora-vai/js/jquery-3.5.1.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [07/Aug/2020:20:36:30 -0300] "GET /agora-vai/login.html HTTP/1.1" 200 1183
